Eye,Repetition,Colour,RGB,Start,End,Outcome
right,1,none,[0. 0. 0.],2022-08-11 16:53:12,2022-08-11 16:55:36,1
right,1,w,[0.1 0.1 0.1],2022-08-11 16:55:37,2022-08-11 16:55:56,1
right,1,w,[0.2 0.2 0.2],2022-08-11 16:55:57,2022-08-11 16:56:09,1
right,1,w,[0.3 0.3 0.3],2022-08-11 16:56:10,2022-08-11 16:56:27,1
right,1,w,[0.4 0.4 0.4],2022-08-11 16:56:28,2022-08-11 16:56:40,1
right,1,w,[0.5 0.5 0.5],2022-08-11 16:56:41,2022-08-11 16:56:52,1
right,1,w,[0.6 0.6 0.6],2022-08-11 16:56:53,2022-08-11 16:57:06,1
right,1,w,[0.7 0.7 0.7],2022-08-11 16:57:07,2022-08-11 16:57:17,1
right,1,w,[0.8 0.8 0.8],2022-08-11 16:57:18,2022-08-11 16:57:31,1
right,1,w,[0.9 0.9 0.9],2022-08-11 16:57:32,2022-08-11 16:57:43,1
right,1,w,[1. 1. 1.],2022-08-11 16:57:44,2022-08-11 16:57:56,1
